,cluster,name,label
208,0,GO_0006886,GO
209,0,GO_0006897,GO
210,0,GO_0006898,GO
211,0,GO_0006928,GO
212,0,GO_0006929,GO
213,0,GO_0006937,GO
214,0,GO_0006950,GO
215,0,GO_0006955,GO
216,0,GO_0006957,GO
217,0,GO_0006974,GO
218,0,GO_0006979,GO
219,0,GO_0006996,GO
220,0,GO_0007010,GO
221,0,GO_0007017,GO
222,0,GO_0007032,GO
223,0,GO_0007049,GO
224,0,GO_0007051,GO
225,0,GO_0007160,GO
226,0,GO_0007165,GO
227,0,GO_0007186,GO
228,0,GO_0007212,GO
229,0,GO_0007256,GO
230,0,GO_0007260,GO
231,0,GO_0007264,GO
232,0,GO_0007275,GO
233,0,GO_0007286,GO
234,0,GO_0007346,GO
235,0,GO_0007588,GO
236,0,GO_0007611,GO
242,0,GO_0008104,GO
243,0,GO_0008150,GO
244,0,GO_0008152,GO
250,0,GO_0008344,GO
251,0,GO_0008345,GO
252,0,GO_0008354,GO
253,0,GO_0008360,GO
254,0,GO_0008366,GO
255,0,GO_0008380,GO
267,0,GO_0008615,GO
269,0,GO_0008654,GO
272,0,GO_0009052,GO
274,0,GO_0009056,GO
275,0,GO_0009058,GO
276,0,GO_0009060,GO
277,0,GO_0009081,GO
278,0,GO_0009259,GO
279,0,GO_0009267,GO
280,0,GO_0009311,GO
281,0,GO_0009435,GO
282,0,GO_0009449,GO
283,0,GO_0009605,GO
284,0,GO_0009607,GO
285,0,GO_0009628,GO
286,0,GO_0009653,GO
287,0,GO_0009888,GO
288,0,GO_0009889,GO
289,0,GO_0009953,GO
290,0,GO_0009966,GO
291,0,GO_0009967,GO
292,0,GO_0009968,GO
293,0,GO_0009987,GO
295,0,GO_0010033,GO
296,0,GO_0010463,GO
297,0,GO_0010466,GO
298,0,GO_0010467,GO
299,0,GO_0010468,GO
300,0,GO_0010556,GO
301,0,GO_0010604,GO
302,0,GO_0010605,GO
303,0,GO_0010623,GO
304,0,GO_0010629,GO
305,0,GO_0010632,GO
306,0,GO_0010633,GO
307,0,GO_0010646,GO
308,0,GO_0010647,GO
309,0,GO_0010648,GO
310,0,GO_0010890,GO
311,0,GO_0010944,GO
312,0,GO_0010976,GO
313,0,GO_0014014,GO
314,0,GO_0014043,GO
315,0,GO_0014067,GO
316,0,GO_0014732,GO
317,0,GO_0015031,GO
329,0,GO_0015693,GO
330,0,GO_0015696,GO
331,0,GO_0015711,GO
332,0,GO_0015732,GO
333,0,GO_0015879,GO
336,0,GO_0016043,GO
337,0,GO_0016054,GO
338,0,GO_0016070,GO
339,0,GO_0016125,GO
342,0,GO_0016311,GO
345,0,GO_0016477,GO
346,0,GO_0016485,GO
349,0,GO_0016525,GO
351,0,GO_0016573,GO
379,0,GO_0017015,GO
383,0,GO_0017144,GO
385,0,GO_0018130,GO
386,0,GO_0018208,GO
387,0,GO_0018242,GO
392,0,GO_0019219,GO
393,0,GO_0019221,GO
394,0,GO_0019222,GO
396,0,GO_0019430,GO
397,0,GO_0019433,GO
398,0,GO_0019438,GO
399,0,GO_0019538,GO
400,0,GO_0019637,GO
401,0,GO_0019674,GO
402,0,GO_0019722,GO
403,0,GO_0019731,GO
404,0,GO_0019752,GO
405,0,GO_0019859,GO
406,0,GO_0019878,GO
407,0,GO_0019882,GO
409,0,GO_0021594,GO
410,0,GO_0021776,GO
411,0,GO_0021795,GO
412,0,GO_0021884,GO
413,0,GO_0021914,GO
414,0,GO_0021952,GO
415,0,GO_0021953,GO
416,0,GO_0022408,GO
417,0,GO_0022414,GO
418,0,GO_0022603,GO
419,0,GO_0022607,GO
423,0,GO_0023051,GO
424,0,GO_0023056,GO
425,0,GO_0023057,GO
426,0,GO_0030036,GO
427,0,GO_0030091,GO
428,0,GO_0030097,GO
431,0,GO_0030154,GO
433,0,GO_0030198,GO
434,0,GO_0030203,GO
435,0,GO_0030214,GO
437,0,GO_0030239,GO
438,0,GO_0030278,GO
439,0,GO_0030279,GO
442,0,GO_0030336,GO
445,0,GO_0030433,GO
446,0,GO_0030510,GO
447,0,GO_0030511,GO
448,0,GO_0030517,GO
449,0,GO_0030593,GO
451,0,GO_0030851,GO
452,0,GO_0030856,GO
453,0,GO_0030953,GO
454,0,GO_0031000,GO
456,0,GO_0031023,GO
459,0,GO_0031116,GO
460,0,GO_0031119,GO
461,0,GO_0031133,GO
462,0,GO_0031175,GO
463,0,GO_0031214,GO
467,0,GO_0031321,GO
468,0,GO_0031323,GO
469,0,GO_0031325,GO
470,0,GO_0031326,GO
473,0,GO_0031497,GO
474,0,GO_0031505,GO
483,0,GO_0032024,GO
484,0,GO_0032042,GO
485,0,GO_0032092,GO
487,0,GO_0032147,GO
488,0,GO_0032259,GO
489,0,GO_0032268,GO
490,0,GO_0032375,GO
491,0,GO_0032388,GO
492,0,GO_0032447,GO
493,0,GO_0032467,GO
494,0,GO_0032496,GO
495,0,GO_0032501,GO
496,0,GO_0032502,GO
498,0,GO_0032727,GO
499,0,GO_0032747,GO
500,0,GO_0032787,GO
501,0,GO_0032836,GO
502,0,GO_0032849,GO
503,0,GO_0032879,GO
505,0,GO_0033036,GO
506,0,GO_0033120,GO
507,0,GO_0033344,GO
509,0,GO_0033609,GO
510,0,GO_0033629,GO
512,0,GO_0034097,GO
513,0,GO_0034219,GO
514,0,GO_0034375,GO
515,0,GO_0034380,GO
516,0,GO_0034393,GO
518,0,GO_0034613,GO
519,0,GO_0034614,GO
520,0,GO_0034626,GO
521,0,GO_0034641,GO
522,0,GO_0034660,GO
523,0,GO_0034767,GO
525,0,GO_0035019,GO
526,0,GO_0035023,GO
527,0,GO_0035082,GO
528,0,GO_0035108,GO
529,0,GO_0035116,GO
530,0,GO_0035246,GO
531,0,GO_0035249,GO
532,0,GO_0035435,GO
533,0,GO_0035522,GO
